lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
1;230.767;0;2509.12;0.5126;1398.23;inf
2;230.989;465.357;2524.73;0.5126;0.148438;0.656471
3;231.551;168.819;2606.75;381.661;42.5469;1.76771
4;231.752;60.5189;2614.47;5.7314;1.36719;5.00774
5;231.889;43.1477;2614.94;5.7314;1447.8;7.19546
6;232.032;43.7543;2615.16;9.38;1448.03;6.98793
7;232.182;43.2023;2616.87;8.1559;1448.27;7.06527
8;232.321;45.8492;2616.73;8.2458;1447.8;6.68565
9;232.474;45.4381;2614.68;10.2351;1447.75;6.80926
10;232.611;43.802;2614.68;4.9784;1447.56;6.92221
11;232.776;43.0506;2614.46;7.0616;1.36719;7.02521
12;232.915;47.4058;2614.71;7.0616;1447.33;6.41606
13;233.054;44.6921;2615.26;7.6022;1447.33;6.92632
14;233.206;41.0268;2614.81;8.6776;1447.09;6.99483
15;233.35;44.3034;2615.92;4.988;1447.09;6.81919
16;233.497;44.8469;2616.05;11.1354;1446.86;6.87367
17;233.637;44.9816;2617.25;5.7381;1447.09;6.87767
18;233.782;43.8811;2617.48;9.2674;1378.36;7.01446
19;233.935;41.8677;2617.89;7.9785;0.0859375;6.90883
20;234.099;44.6501;2608.16;7.9578;1.36719;6.50781
21;234.256;45.7976;2607;4.9272;1.36719;6.34251
22;234.395;48.2089;2607.35;4.9272;1446.62;6.39889
23;234.533;44.5854;2607.98;9.8735;1446.62;6.95365
24;234.675;42.2947;2604.61;7.2388;1446.39;7.27353
25;234.826;44.4866;2602.99;7.5313;1446.62;6.95836
26;234.971;45.0412;2602.99;8.5046;1446.44;6.73127
27;235.131;44.2622;2602.99;11.3082;1.36719;6.84126
28;235.27;48.1212;2602.99;11.3082;1378.36;6.39699
29;235.431;42.6078;2604.16;5.5263;0.0390625;6.90446
30;235.576;46.3709;2604.53;8.9971;1446.39;6.43029
31;235.713;44.9698;2604.54;7.9177;1446.16;6.79993
32;235.864;43.5168;2604.46;7.8411;1384.45;7.022
33;236.031;44.7887;2602.86;4.6138;1.36719;6.761
34;236.167;49.7668;2602.88;4.6138;1446.16;6.17941
35;236.317;41.5772;2602.96;9.8209;1446.39;7.08011
36;236.457;45.0935;2602.9;7.2819;1445.92;6.70352
37;236.609;43.7268;2604.43;7.5274;1446.16;6.99054
38;236.752;45.1286;2604.43;8.8373;1378.36;6.77874
39;236.908;44.4954;2604.57;4.913;0.0390625;6.84494
40;237.054;46.9071;2604.57;10.8865;1445.73;6.57108
41;237.201;45.8743;2603.95;5.6861;1445.92;6.7516
42;237.367;43.7534;2603.32;9.204;1.36719;6.82394
43;237.5;49.2358;2603.32;7.9712;1445.69;6.24668
44;237.672;42.5452;2604.2;9.9749;1.36719;7.01319
45;237.813;50.1957;2604.2;9.9749;1445.45;6.10592
46;237.978;43.4938;2604.34;4.8688;1.36719;6.7259
47;238.128;38.2145;2595.91;10.0578;0.0234375;6.22118
48;238.272;45.6753;2595.99;7.0731;1445.45;6.5619
49;238.424;43.1705;2597.54;7.4878;0.0234375;6.85936
50;238.566;44.96;2597.66;8.5332;1445.45;6.60884
51;238.716;43.6847;2597.87;4.9153;1445.45;7.02415
52;238.867;48.1599;2599.44;10.9649;1445.69;6.34308
